week, name, version, count, created, downloads
2017/10, unibits, 1.1.0, 2, 2017-03-08, 1436
2017/10, unicode-categories, 1.1.1, 3, 2017-03-08, 1493
2017/10, unicode-types, 1.1.1, 4, 2017-03-08, 1494
2017/09, microgem, 1.0.9, 10, 2017-03-05, 1596
2017/09, unibits, 1.0.0, 1, 2017-03-05, 1478
2017/08, unicode-name, 1.4.0, 5, 2017-02-23, 1500
2017/08, unicode-age, 2.0.0.pre, 4, 2017-02-22, 1395
2017/08, unicode-age, 1.1.0, 3, 2017-02-22, 1537
2017/07, microgem, 1.0.8, 9, 2017-02-16, 1559
2017/06, code, 0.9.1, 2, 2017-02-07, 65268
2017/06, core_docs, 0.9.2, 3, 2017-02-06, 2400
2017/06, pws, 1.0.7, 17, 2017-02-06, 2620
2017/02, unicode-display_width, 1.1.3, 15, 2017-01-13, 6002145
2016/51, paint, 2.0.0, 12, 2016-12-23, 1043131
2016/51, paint-shortcuts, 2.0.0, 2, 2016-12-23, 34533
2016/49, unicode-display_width, 1.1.2, 14, 2016-12-09, 1532122
2016/46, whirly, 0.2.4, 7, 2016-11-16, 7025
2016/45, wirb, 2.1.0, 19, 2016-11-08, 49823
2016/41, microgem, 1.0.7, 8, 2016-10-10, 1676
2016/40, whirly, 0.2.3, 6, 2016-10-08, 2685
2016/40, whirly, 0.2.2, 5, 2016-10-06, 1577
2016/40, whirly, 0.2.1, 4, 2016-10-05, 1525
2016/40, whirly, 0.2.0, 3, 2016-10-05, 1514
2016/39, whirly, 0.1.1, 2, 2016-09-30, 5932
2016/38, irbtools-more, 2.2.0, 16, 2016-09-24, 6465
2016/38, whirly, 0.1.0, 1, 2016-09-23, 1542
2016/36, unicode-display_width, 1.1.1, 13, 2016-09-07, 4285319
2016/29, clipboard, 1.1.1, 26, 2016-07-24, 1453475
2016/25, unicode-blocks, 1.1.0, 2, 2016-06-22, 1969
2016/25, unicode-categories, 1.1.0, 2, 2016-06-22, 1891
2016/25, unicode-confusable, 1.1.0, 3, 2016-06-22, 3696
2016/25, unicode-display_width, 1.1.0, 12, 2016-06-22, 2074248
2016/25, unicode-name, 1.3.0, 4, 2016-06-22, 1893
2016/25, unicode-numeric_value, 1.2.0, 3, 2016-06-22, 1960
2016/25, unicode-scripts, 1.1.0, 2, 2016-06-22, 1930
2016/25, unicode-types, 1.1.0, 3, 2016-06-22, 1880
2016/25, unicode-x, 1.1.0, 5, 2016-06-22, 1861
2016/17, unicode-display_width, 1.0.5, 11, 2016-04-30, 1011601
2016/17, unicode-display_width, 1.0.4, 10, 2016-04-30, 2759
2016/16, unicode-numeric_value, 1.1.0, 2, 2016-04-20, 2219
2016/15, unicode-numeric_value, 1.0.0, 1, 2016-04-16, 1610
2016/15, unicode-x, 1.0.3, 4, 2016-04-16, 2092
2016/15, unicode-age, 1.0.1, 2, 2016-04-15, 2397
2016/15, unicode-name, 1.2.0, 3, 2016-04-15, 2096
2016/15, unicode-name, 1.1.0, 2, 2016-04-15, 1570
2016/15, unicode-types, 1.0.1, 2, 2016-04-15, 1660
2016/15, unicode-types, 1.0.0, 1, 2016-04-15, 1581
2016/15, unicode-blocks, 1.0.0, 1, 2016-04-13, 2109
2016/15, unicode-categories, 1.0.0, 1, 2016-04-13, 2270
2016/15, unicode-name, 1.0.0, 1, 2016-04-13, 1614
2016/15, unicode-scripts, 1.0.0, 1, 2016-04-13, 1650
2016/15, unicode-x, 1.0.2, 3, 2016-04-13, 1618
2016/15, unicode-x, 1.0.1, 2, 2016-04-13, 1569
2016/15, unicode-x, 1.0.0, 1, 2016-04-13, 1578
